option,response,,,,,,,
option1,Yes,,,,,,,
option1,Yes,,,,,,,
option1,It is okay,,,,,,,
option1,Yes,,,,,,,
option1,It is okay,,,,,,,
option1,Yes,,,,,,,
option1,It is okay,,,,,,,
option1,Yes,,,,,,,
option1,Yes,,,,,,,
option1,Yes,,,,,,,
option1,Yes,,,,,,,
option1,Yes,,,,,,,
option1,It is okay,,,,,,,
option1,Yes,,,,,,,
option1,Yes,,,,,,,
option1,Yes,,,,,,,
option1,It is okay,,,,,,,
option1,Yes,,,,,,,
option1,No,,,,,,,
option1,It is okay,,,,,,,
option1,Yes,,,,,,,
option2,It is okay,,,,,,,
option2,Yes,,,,,,,
option2,No,,,,,,,
option2,It is okay,,,,,,,
option2,No,,,,,,,
option2,No,,,,,,,
option2,No,,,,,,,
option2,No,,,,,,,
option2,No,,,,,,,
option2,It is okay,,,,,,,
option2,No,,,,,,,
option2,No,,,,,,,
option2,It is okay,,,,,,,
option2,It is okay,,,,,,,
option2,No,,,,,,,
option2,No,,,,,,,
option2,Yes,,,,,,,
option2,It is okay,,,,,,,
option2,No,,,,,,,
option2,Yes,,,,,,,
option2,No,,,,,,,
option3,It is okay,,,,,,,
option3,It is okay,,,,,,,
option3,It is okay,,,,,,,
option3,It is okay,,,,,,,
option3,It is okay,,,,,,,
option3,Yes,,,,,,,
option3,It is okay,,,,,,,
option3,No,,,,,,,
option3,No,,,,,,,
option3,It is okay,,,,,,,
option3,It is okay,,,,,,,
option3,It is okay,,,,,,,
option3,It is okay,,,,,,,
option3,It is okay,,,,,,,
option3,No,,,,,,,
option3,No,,,,,,,
option3,Yes,,,,,,,
option3,No,,,,,,,
option3,No,,,,,,,
option3,Yes,,,,,,,
option3,No,,,,,,,
option4,Yes,,,,,,,
option4,Yes,,,,,,,
option4,Yes,,,,,,,
option4,No,,,,,,,
option4,No,,,,,,,
option4,It is okay,,,,,,,
option4,It is okay,,,,,,,
option4,It is okay,,,,,,,
option4,It is okay,,,,,,,
option4,No,,,,,,,
option4,It is okay,,,,,,,
option4,No,,,,,,,
option4,It is okay,,,,,,,
option4,Yes,,,,,,,
option4,Yes,,,,,,,
option4,No,,,,,,,
option4,No,,,,,,,
option4,Yes,,,,,,,
option4,No,,,,,,,
option4,Yes,,,,,,,
option4,Yes,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
